"","human_gene","nematode_gene"
"1","UCK2","B0001.4"
"2","PUS7L","B0024.11"
"3","SRD5A3","B0024.13"
"4","B3GALT4","B0024.15"
"5","B3GALT5","B0024.3"
"6","MEAF6","B0025.4"
"7","GOLT1B","B0035.13"
"8","NDUFAF4","B0035.15"
"9","SLC35F5","B0041.5"
"10","FUT2","B0205.4"
"11","GPN2","B0207.6"
"12","MTAP","B0228.7"
"13","HECA","B0238.9"
"14","SLC22A4","B0252.3"
"15","BDP1","B0261.1"
"16","WASL","B0280.2"
"17","KCTD10","B0281.5"
"18","KCTD10","B0281.6"
"19","SLC13A2","B0285.6"
"20","HADHB","B0303.3"
"21","TMUB1","B0303.4"
"22","SH3GL2","B0303.7"
"23","PRELID1","B0334.4"
"24","NDUFAF6","B0334.5"
"25","GTF2A2","B0336.13"
"26","SPOUT1","B0361.6"
"27","CRAT","B0395.3"
"28","SLC49A3","B0416.5"
"29","CIP2A","B0432.7"
"30","TATDN3","B0432.8"
"31","SLC7A3","B0454.6"
"32","TMEM209","B0464.6"
"33","PPME1","B0464.9"
"34","SPATA20","B0495.5"
"35","ERMP1","B0495.7"
"36","BROX","B0507.2"
"37","PCNX3","B0511.12"
"38","DDX18","B0511.6"
"39","PPP1R8","B0511.7"
"40","ZBED6","B0545.4"
"41","YPEL5","B0546.3"
"42","YPEL5","B0546.4"
"43","MFSD11","B0554.5"
"44","MFSD11","B0554.7"
"45","GPR139","B0563.6"
"46","CALM3","B0563.7"
"47","ALKBH6","B0564.2"
"48","SKP2","B0564.6"
"49","SKP2","B0564.9"
"50","PNPT1","BE0003N10.1"
"51","FBXO11","BE0003N10.3"
"52","FUT9","BE10.3"
"53","CHMP2B","C01A2.4"
"54","INPP5A","C01B10.3"
"55","METTL13","C01B10.8"
"56","ENPP4","C01B10.9"
"57","GALM","C01B4.6"
"58","SLC17A2","C01B4.7"
"59","SLC17A2","C01B4.8"
"60","ANKRD13C","C01F1.6"
"61","PRKAB1","C01F6.2"
"62","OSGEPL1","C01G10.10"
"63","MRI1","C01G10.9"
"64","AKR1B1","C01G5.5"
"65","A4GNT","C01G5.7"
"66","RNF11","C01G6.4"
"67","TCF19","C01G6.5"
"68","FMO5","C01H6.4"
"69","PYGO2","C02B10.5"
"70","RNF146","C02B8.6"
"71","IFI30","C02D5.2"
"72","GSTO2","C02D5.4"
"73","SPINT4","C02F12.5"
"74","TM2D2","C02F5.13"
"75","DRG2","C02F5.3"
"76","IDE","C02G6.2"
"77","C1GALT1C1L","C02H6.1"
"78","TMEM104","C03A3.2"
"79","UGT1A6","C03A7.13"
"80","TMEM65","C03B8.3"
"81","CSNK1A1L","C03C10.2"
"82","PLA2G1B","C03H5.4"
"83","EIF3L","C03H5.5"
"84","NGLY1","C04E12.4"
"85","NGLY1","C04E12.5"
"86","PRRC1","C04G6.4"
"87","TRMT112","C04H5.1"
"88","IGHMBP2","C05C10.2"
"89","OXCT1","C05C10.3"
"90","CSNK1A1L","C05C12.1"
"91","DMAC2L","C05C8.1"
"92","MPI","C05C8.7"
"93","PLTP","C05C9.1"
"94","UQCRC1","C05D11.1"
"95","HYI","C05D11.5"
"96","FHIP1A","C05D11.8"
"97","FRRS1","C05D12.1"
"98","GNPTAB","C05D12.2"
"99","GNPTAB","C05D12.3"
"100","ITGBL1","C05D9.3"
"101","FUT9","C05E4.15"
"102","SLC49A3","C05G5.1"
"103","PPP1CC","C06A1.3"
"104","GSKIP","C06A12.3"
"105","ACY1","C06A6.4"
"106","CEP104","C06A8.8"
"107","BPIFA1","C06G1.1"
"108","SQSTM1","C06G3.6"
"109","STARD7","C06H2.2"
"110","TOM1","C07A12.7"
"111","PI15","C07A4.2"
"112","AKR1B10","C07D8.5"
"113","AKR1B10","C07D8.6"
"114","PLA2G1B","C07E3.9"
"115","PPP1R11","C07H6.2"
"116","C1orf50","C08B11.9"
"117","REXO2","C08B6.8"
"118","MFSD11","C08D8.1"
"119","APMAP","C08E8.2"
"120","ADAT2","C08E8.4"
"121","SUPV3L1","C08F8.2"
"122","CSNK1A1L","C08F8.6"
"123","WFDC5","C08G9.2"
"124","FRA10AC1","C08H9.16"
"125","TMEM53","C09B8.4"
"126","BEST4","C09B9.85"
"127","FLVCR2","C09D4.1"
"128","FAM135A","C09D4.4"
"129","RNF24","C09E7.7"
"130","RNF122","C09E7.8"
"131","TUSC2","C09E9.1"
"132","ZNF84","C09F5.3"
"133","ZNF512B","C09F9.2"
"134","RPGRIP1L","C09G5.13"
"135","ZBED6","C10A4.1"
"136","ACY1","C10C5.3"
"137","ACY1","C10C5.4"
"138","ACY1","C10C5.5"
"139","FBXO40","C10E2.2"
"140","CCDC9","C10G8.8"
"141","QNG1","C11D2.4"
"142","MCTS1","C11D2.7"
"143","GPR89A","C11H1.2"
"144","MGRN1","C11H1.3"
"145","CNPY3","C11H1.7"
"146","FRRS1","C13B4.1"
"147","GLYCTK","C13B9.2"
"148","LHPP","C13C4.4"
"149","CFAP276","C13C4.6"
"150","SAYSD1","C13F10.5"
"151","SREK1IP1","C13F10.7"
"152","SIKE1","C14B1.8"
"153","PGAP2","C14B9.3"
"154","PHKA2","C14B9.8"
"155","PSME4","C14C10.5"
"156","P4HA1","C14E2.4"
"157","GOLT1B","C14E2.6"
"158","PDXDC1","C14H10.3"
"159","TMEM145","C15A7.2"
"160","PIPOX","C15B12.1"
"161","PIPOX","C15B12.8"
"162","LRPAP1","C15C8.4"
"163","TMCC3","C15H9.4"
"164","GPR107","C15H9.5"
"165","CLK4","C16A11.10"
"166","CCDC93","C16A11.2"
"167","RNF122","C16A11.5"
"168","NDUFB9","C16A3.5"
"169","MAK16","C16A3.6"
"170","UTP11","C16C10.2"
"171","SAP18","C16C10.4"
"172","LYAR","C16C10.8"
"173","SYAP1","C16C2.4"
"174","RMDN2","C16C8.18"
"175","C1GALT1C1L","C16D9.6"
"176","KIAA0930","C16E9.2"
"177","C1GALT1C1","C17A2.3"
"178","NGLY1","C17B7.5"
"179","ACOT8","C17C3.1"
"180","CSNK1A1L","C17C3.11"
"181","ACOT8","C17C3.3"
