"","human_gene","dog_gene"
"1","RNA5S3","5S_rRNA"
"2","5_8S_rRNA","5_8S_rRNA"
"3","A1BG","A1BG"
"4","A1CF","A1CF"
"5","A2M","A2M"
"6","A2ML1","A2ML1"
"7","A3GALT2","A3GALT2"
"8","A4GALT","A4GALT"
"9","A4GNT","A4GNT"
"10","AAAS","AAAS"
"11","AADAC","AADAC"
"12","AADACL3","AADACL3"
"13","AADAT","AADAT"
"14","AAGAB","AAGAB"
"15","AAK1","AAK1"
"16","AAMDC","AAMDC"
"17","AAMP","AAMP"
"18","AANAT","AANAT"
"19","AAR2","AAR2"
"20","AARS1","AARS1"
"21","AARS2","AARS2"
"22","AARSD1","AARSD1"
"23","AASDH","AASDH"
"24","AASDHPPT","AASDHPPT"
"25","AASS","AASS"
"26","AATF","AATF"
"27","AATK","AATK"
"28","ABAT","ABAT"
"29","ABCA1","ABCA1"
"30","ABCA12","ABCA12"
"31","ABCA3","ABCA3"
"32","ABCA4","ABCA4"
"33","ABCA5","ABCA5"
"34","ABCA6","ABCA6"
"35","ABCA7","ABCA7"
"36","ABCA8","ABCA8"
"37","ABCA9","ABCA9"
"38","ABCB1","ABCB1"
"39","ABCB10","ABCB10"
"40","ABCB11","ABCB11"
"41","ABCB4","ABCB4"
"42","ABCB5","ABCB5"
"43","ABCB6","ABCB6"
"44","ABCB7","ABCB7"
"45","ABCB8","ABCB8"
"46","ABCB9","ABCB9"
"47","ABCC1","ABCC1"
"48","ABCC10","ABCC10"
"49","ABCC11","ABCC11"
"50","ABCC12","ABCC12"
"51","ABCC2","ABCC2"
"52","ABCC3","ABCC3"
"53","ABCC4","ABCC4"
"54","ABCC5","ABCC5"
"55","ABCC6","ABCC6"
"56","ABCC8","ABCC8"
"57","ABCC9","ABCC9"
"58","ABCD1","ABCD1"
"59","ABCD2","ABCD2"
"60","ABCD3","ABCD3"
"61","ABCE1","ABCE1"
"62","ABCF1","ABCF1"
"63","ABCF2","ABCF2"
"64","ABCF3","ABCF3"
"65","ABCG1","ABCG1"
"66","ABCG2","ABCG2"
"67","ABCG4","ABCG4"
"68","ABCG5","ABCG5"
"69","ABCG8","ABCG8"
"70","ABHD1","ABHD1"
"71","ABHD11","ABHD11"
"72","ABHD12","ABHD12"
"73","ABHD12B","ABHD12B"
"74","ABHD13","ABHD13"
"75","ABHD14B","ABHD14B"
"76","ABHD15","ABHD15"
"77","ABHD16A","ABHD16A"
"78","ABHD16B","ABHD16B"
"79","ABHD17A","ABHD17A"
"80","ABHD17B","ABHD17B"
"81","ABHD17C","ABHD17C"
"82","ABHD18","ABHD18"
"83","ABHD2","ABHD2"
"84","ABHD3","ABHD3"
"85","ABHD4","ABHD4"
"86","ABHD5","ABHD5"
"87","ABHD6","ABHD6"
"88","ABHD8","ABHD8"
"89","ABI1","ABI1"
"90","ABI2","ABI2"
"91","ABI3","ABI3"
"92","ABI3BP","ABI3BP"
"93","ABITRAM","ABITRAM"
"94","ABL1","ABL1"
"95","ABL2","ABL2"
"96","ABLIM1","ABLIM1"
"97","ABLIM2","ABLIM2"
"98","ABLIM3","ABLIM3"
"99","ABO","ABO"
"100","ABR","ABR"
"101","ABRA","ABRA"
"102","ABRACL","ABRACL"
"103","ABRAXAS1","ABRAXAS1"
"104","ABRAXAS2","ABRAXAS2"
"105","ABT1","ABT1"
"106","ABTB1","ABTB1"
"107","ABTB2","ABTB2"
"108","ACAA1","ACAA1"
"109","ACAA2","ACAA2"
"110","ACACA","ACACA"
"111","ACACB","ACACB"
"112","ACAD11","ACAD11"
"113","ACAD8","ACAD8"
"114","ACADL","ACADL"
"115","ACADM","ACADM"
"116","ACADS","ACADS"
"117","ACADSB","ACADSB"
"118","ACADVL","ACADVL"
"119","ACAN","ACAN"
"120","ACAP1","ACAP1"
"121","ACAP2","ACAP2"
"122","ACAP3","ACAP3"
"123","ACAT1","ACAT1"
"124","ACAT2","ACAT2"
"125","ACBD3","ACBD3"
"126","ACBD4","ACBD4"
"127","ACBD6","ACBD6"
"128","ACBD7","ACBD7"
"129","ACD","ACD"
"130","ACE","ACE"
"131","ACE2","ACE2"
"132","ACER1","ACER1"
"133","ACER2","ACER2"
"134","ACER3","ACER3"
"135","ACHE","ACHE"
"136","ACIN1","ACIN1"
"137","ACKR1","ACKR1"
"138","ACKR3","ACKR3"
"139","ACKR4","ACKR4"
"140","ACLY","ACLY"
"141","ACMSD","ACMSD"
"142","ACO1","ACO1"
"143","ACO2","ACO2"
"144","ACOD1","ACOD1"
"145","ACOT11","ACOT11"
"146","ACOT12","ACOT12"
"147","ACOT13","ACOT13"
"148","ACOT6","ACOT6"
"149","ACOT7","ACOT7"
"150","TNNC2","ACOT8"
"151","ACOT9","ACOT9"
"152","ACOX1","ACOX1"
"153","ACOX2","ACOX2"
"154","ACOX3","ACOX3"
"155","ACOXL","ACOXL"
"156","ACP2","ACP2"
"157","ACP3","ACP3"
"158","ACP4","ACP4"
"159","ACP5","ACP5"
"160","ACP6","ACP6"
"161","ACP7","ACP7"
"162","ACR","ACR"
"163","ACRBP","ACRBP"
"164","ACRV1","ACRV1"
"165","ACSBG1","ACSBG1"
"166","ACSBG2","ACSBG2"
"167","ACSF3","ACSF3"
"168","ACSL1","ACSL1"
"169","ACSL4","ACSL4"
"170","ACSL5","ACSL5"
"171","ACSL6","ACSL6"
"172","ACSM3","ACSM3"
"173","ACSM5","ACSM5"
"174","ACSS1","ACSS1"
"175","ACSS2","ACSS2"
"176","ACSS3","ACSS3"
"177","ACTA2","ACTA2"
"178","ACTBL2","ACTBL2"
"179","ACTC1","ACTC1"
"180","ACTG1","ACTG1"
"181","ACTL6A","ACTL6A"
"182","ACTL6B","ACTL6B"
"183","ACTL7A","ACTL7A"
"184","ACTL7B","ACTL7B"
"185","ACTL8","ACTL8"
"186","ACTL9","ACTL9"
"187","ACTMAP","ACTMAP"
"188","ACTN1","ACTN1"
"189","ACTN2","ACTN2"
"190","ACTN3","ACTN3"
"191","ACTN4","ACTN4"
"192","ACTR10","ACTR10"
"193","ACTR1A","ACTR1A"
"194","ACTR1B","ACTR1B"
"195","ACTR2","ACTR2"
"196","ACTR3B","ACTR3B"
"197","ACTR5","ACTR5"
"198","ACTR6","ACTR6"
"199","ACTR8","ACTR8"
"200","ACTRT2","ACTRT2"
"201","ACTRT3","ACTRT3"
"202","ACVR1","ACVR1"
"203","ACVR1B","ACVR1B"
"204","ACVR1C","ACVR1C"
"205","ACVR2A","ACVR2A"
"206","ACVR2B","ACVR2B"
"207","ACVRL1","ACVRL1"
"208","ACY1","ACY1"
"209","ADA","ADA"
"210","HDHD5","ADA2"
"211","ADAD1","ADAD1"
"212","ADAD2","ADAD2"
"213","ADAL","ADAL"
"214","ADAM10","ADAM10"
"215","ADAM11","ADAM11"
"216","ADAM12","ADAM12"
"217","ADAM15","ADAM15"
"218","ADAM17","ADAM17"
"219","ADAM2","ADAM2"
"220","ADAM21","ADAM21"
"221","ADAM22","ADAM22"
"222","ADAM23","ADAM23"
"223","ADAM28","ADAM28"
"224","ADAM29","ADAM29"
"225","ADAM33","ADAM33"
"226","ADAM7","ADAM7"
"227","ADAM8","ADAM8"
"228","ADAM9","ADAM9"
"229","ADAMDEC1","ADAMDEC1"
"230","ADAMTS1","ADAMTS1"
"231","ADAMTS10","ADAMTS10"
"232","ADAMTS12","ADAMTS12"
"233","ADAMTS13","ADAMTS13"
"234","ADAMTS14","ADAMTS14"
"235","ADAMTS16","ADAMTS16"
"236","ADAMTS17","ADAMTS17"
"237","ADAMTS18","ADAMTS18"
"238","ADAMTS19","ADAMTS19"
"239","ADAMTS2","ADAMTS2"
"240","ADAMTS20","ADAMTS20"
"241","ADAMTS3","ADAMTS3"
"242","ADAMTS4","ADAMTS4"
"243","ADAMTS5","ADAMTS5"
"244","ADAMTS6","ADAMTS6"
"245","ADAMTS8","ADAMTS8"
"246","ADAMTS9","ADAMTS9"
"247","ADAMTSL1","ADAMTSL1"
"248","ADAMTSL2","ADAMTSL2"
"249","ADAMTSL3","ADAMTSL3"
"250","ADAMTSL4","ADAMTSL4"
"251","ADAP1","ADAP1"
"252","ADAP2","ADAP2"
"253","ADAR","ADAR"
"254","ADARB1","ADARB1"
"255","ADARB2","ADARB2"
"256","ADAT1","ADAT1"
"257","ADAT2","ADAT2"
"258","ADCK1","ADCK1"
"259","ADCK2","ADCK2"
"260","ADCK5","ADCK5"
"261","ADCY10","ADCY10"
"262","ADCY2","ADCY2"
"263","ADCY3","ADCY3"
"264","ADCY4","ADCY4"
"265","ADCY5","ADCY5"
"266","ADCY6","ADCY6"
"267","ADCY7","ADCY7"
"268","ADCY8","ADCY8"
"269","ADCY9","ADCY9"
"270","ADCYAP1","ADCYAP1"
"271","ADCYAP1R1","ADCYAP1R1"
"272","ADD1","ADD1"
"273","ADD2","ADD2"
"274","ADD3","ADD3"
"275","ADGB","ADGB"
"276","ADGRA1","ADGRA1"
"277","ADGRA2","ADGRA2"
"278","ADGRA3","ADGRA3"
"279","ADGRB1","ADGRB1"
"280","ADGRB2","ADGRB2"
"281","ADGRB3","ADGRB3"
"282","ADGRD1","ADGRD1"
"283","ADGRE1","ADGRE1"
"284","ADGRE3","ADGRE3"
"285","ADGRE5","ADGRE5"
"286","ADGRF1","ADGRF1"
"287","ADGRF3","ADGRF3"
"288","ADGRF4","ADGRF4"
"289","ADGRF5","ADGRF5"
"290","ADGRG1","ADGRG1"
"291","ADGRG2","ADGRG2"
"292","ADGRG3","ADGRG3"
"293","ADGRG4","ADGRG4"
"294","ADGRG5","ADGRG5"
"295","ADGRG6","ADGRG6"
"296","ADGRL1","ADGRL1"
