"","human_gene","rat_gene"
"1","SMIM33","1700066B19Rik"
"2","LCE7A","2210017I01Rik"
"3","CAPZA1","4933400A11Rik"
"4","A1BG","A1bg"
"5","A1CF","A1cf"
"6","A2M","A2m"
"7","A3GALT2","A3galt2"
"8","A4GALT","A4galt"
"9","A4GNT","A4gnt"
"10","DCTN3","AABR07000222.1"
"11","KRT6A","AABR07001416.1"
"12","RSRC1","AABR07001435.1"
"13","TMEM64","AABR07002627.1"
"14","PEPD","AABR07002969.1"
"15","FAU","AABR07004876.1"
"16","RPS14","AABR07005506.1"
"17","THUMPD1","AABR07005588.1"
"18","KRTAP10-6","AABR07006049.1"
"19","TVP23B","AABR07006081.1"
"20","F11R","AABR07006111.1"
"21","SCGB1D1","AABR07006242.1"
"22","C4orf33","AABR07006255.1"
"23","OOSP1","AABR07006283.1"
"24","LARP4","AABR07006333.1"
"25","PPHLN1","AABR07006367.1"
"26","MBL2","AABR07006691.1"
"27","NUTF2","AABR07006740.1"
"28","JOSD2","AABR07006871.1"
"29","ABLIM1","AABR07007032.1"
"30","RPL7A","AABR07007121.1"
"31","ATP5MC2","AABR07007730.1"
"32","CLN5","AABR07008608.1"
"33","SIRPB1","AABR07008876.1"
"34","HNRNPM","AABR07008911.1"
"35","ZNF85","AABR07009105.1"
"36","RAB5C","AABR07009572.1"
"37","KMT5A","AABR07010705.1"
"38","PSAT1","AABR07011698.1"
"39","SPOP","AABR07012426.1"
"40","COX7A2","AABR07012587.1"
"41","CHIA","AABR07012788.1"
"42","LIN9","AABR07015180.1"
"43","COX7A2","AABR07015346.1"
"44","DPPA3","AABR07015759.1"
"45","GTF2A2","AABR07015889.1"
"46","MIF","AABR07016805.1"
"47","ANKRD62","AABR07017236.1"
"48","PTGDR","AABR07017241.1"
"49","TRAV22","AABR07017639.2"
"50","TRAV5","AABR07017733.1"
"51","TRAV9-2","AABR07017745.3"
"52","TRDV1","AABR07017768.6"
"53","TRAV13-1","AABR07017838.1"
"54","TRAV12-2","AABR07017868.4"
"55","TRAV13-1","AABR07017874.1"
"56","GZMB","AABR07018028.1"
"57","MSANTD5","AABR07018048.2"
"58","NUTF2","AABR07018058.1"
"59","SSX3","AABR07018269.1"
"60","UQCRB","AABR07018627.1"
"61","CLN5","AABR07019209.2"
"62","UGGT2","AABR07019403.1"
"63","METTL27","AABR07021022.1"
"64","RPL23A","AABR07021384.1"
"65","SMS","AABR07021734.1"
"66","RCN1","AABR07024442.1"
"67","NDUFAF7","AABR07025743.1"
"68","CALCOCO2","AABR07025818.1"
"69","ATP5PD","AABR07025819.1"
"70","SGCZ","AABR07025986.2"
"71","C8orf48","AABR07026002.1"
"72","HOOK3","AABR07026291.1"
"73","SRSF3","AABR07026797.1"
"74","S100A11","AABR07026805.2"
"75","SPATA31E1","AABR07026929.1"
"76","SLC17A1","AABR07027750.1"
"77","TRGC1","AABR07027872.1"
"78","TGIF2","AABR07027925.2"
"79","ANKRD26","AABR07028262.1"
"80","SMARCA5","AABR07028349.1"
"81","FRMD4A","AABR07028615.1"
"82","LYST","AABR07028902.1"
"83","ATP6V1G1","AABR07029470.2"
"84","ENO1","AABR07029675.1"
"85","SELENOW","AABR07029732.1"
"86","CFL1","AABR07029863.4"
"87","STMN1","AABR07030375.1"
"88","KRTAP4-3","AABR07030464.1"
"89","ATP6V0C","AABR07030494.1"
"90","PAM16","AABR07030524.1"
"91","FOXJ1","AABR07030823.1"
"92","POLR2H","AABR07030911.1"
"93","RNF138","AABR07031480.1"
"94","MAPRE2","AABR07031491.2"
"95","CREB1","AABR07031674.2"
"96","PRR16","AABR07032097.1"
"97","RNF149","AABR07032453.1"
"98","CHN1","AABR07032856.1"
"99","KMT5A","AABR07033047.1"
"100","TENT5B","AABR07033236.1"
"101","UBXN7","AABR07034438.1"
"102","IGLV6-57","AABR07034730.2"
"103","IGLV6-57","AABR07034730.3"
"104","IGLV3-10","AABR07034736.1"
"105","PKP2","AABR07034767.1"
"106","BOLA2","AABR07034928.1"
"107","CDK8","AABR07035338.1"
"108","AP5Z1","AABR07035428.2"
"109","SPN","AABR07035501.1"
"110","MLXIPL","AABR07035839.1"
"111","DBI","AABR07036498.1"
"112","SSX1","AABR07036698.1"
"113","ACP1","AABR07036974.1"
"114","MPC1L","AABR07037058.1"
"115","FUS","AABR07037203.1"
"116","CRIP2","AABR07037243.1"
"117","RNPS1","AABR07037800.1"
"118","PHKA2","AABR07037995.1"
"119","MYL6B","AABR07038250.1"
"120","RPL7L1","AABR07038269.1"
"121","MAGEB2","AABR07038553.1"
"122","MAGEB2","AABR07038554.1"
"123","PPP4R3C","AABR07038657.1"
"124","DCAF8L2","AABR07038690.1"
"125","PGAP2","AABR07038703.1"
"126","PPP4R3C","AABR07038714.1"
"127","PPP4R3C","AABR07038788.1"
"128","SUPT20HL2","AABR07038858.1"
"129","CDY1B","AABR07039112.1"
"130","RTL8C","AABR07039304.1"
"131","PABPC1L2A","AABR07039334.1"
"132","NAP1L2","AABR07039336.2"
"133","H2BW1","AABR07040686.1"
"134","ESX1","AABR07040695.1"
"135","PSMD10","AABR07040855.1"
"136","ATG4A","AABR07040864.1"
"137","RPS9","AABR07040892.1"
"138","NPM1","AABR07041089.1"
"139","UBE2W","AABR07041109.1"
"140","EIF5","AABR07041140.1"
"141","TEX13D","AABR07041403.1"
"142","DTX2","AABR07041972.1"
"143","MIR452","AABR07042302.1"
"144","SNU13","AABR07042323.1"
"145","C15orf48","AABR07042326.2"
"146","BTF3","AABR07042669.1"
"147","SNRPD3","AABR07042875.1"
"148","IQCM","AABR07042936.1"
"149","POLR2M","AABR07043557.1"
"150","H3-7","AABR07044065.1"
"151","TNXB","AABR07044388.2"
"152","GGT5","AABR07044631.2"
"153","NQO2","AABR07044714.1"
"154","RFPL4B","AABR07045341.1"
"155","TIMM10B","AABR07045462.1"
"156","ACBD5","AABR07046657.1"
"157","STAU2","AABR07046707.1"
"158","RPLP2","AABR07046956.1"
"159","CSGALNACT2","AABR07047835.1"
"160","ZFP37","AABR07048473.1"
"161","SNORA19","AABR07048648.1"
"162","DPPA3","AABR07048770.1"
"163","CCDC171","AABR07049060.1"
"164","CKS1B","AABR07049223.1"
"165","HSPE1","AABR07049228.1"
"166","OBP2B","AABR07051244.1"
"167","AK1","AABR07051450.1"
"168","PDCL","AABR07051787.1"
"169","VDAC2","AABR07051831.1"
"170","G6PC2","AABR07052465.1"
"171","RFK","AABR07053065.1"
"172","ELP4","AABR07053185.1"
"173","RPL22L1","AABR07053716.1"
"174","PSMB3","AABR07053749.1"
"175","CFAP61","AABR07054096.1"
"176","CST3","AABR07054232.1"
"177","AGFG1","AABR07054262.1"
"178","PTGIS","AABR07054614.1"
"179","NPM1","AABR07055527.1"
"180","OTUB1","AABR07056013.1"
