"","human_gene","horse_gene"
"1","RNA5S5","5S_rRNA"
"2","RNA5-8SN5","5_8S_rRNA"
"3","A1BG","A1BG"
"4","A1CF","A1CF"
"5","A2M","A2M"
"6","A2ML1","A2ML1"
"7","A3GALT2","A3GALT2"
"8","A4GALT","A4GALT"
"9","A4GNT","A4GNT"
"10","AAAS","AAAS"
"11","AACS","AACS"
"12","AADACL2","AADACL2"
"13","AADACL3","AADACL3"
"14","AADAT","AADAT"
"15","AAGAB","AAGAB"
"16","AAK1","AAK1"
"17","AAMDC","AAMDC"
"18","AAMP","AAMP"
"19","AANAT","AANAT"
"20","AAR2","AAR2"
"21","AARS1","AARS1"
"22","AARS2","AARS2"
"23","AARSD1","AARSD1"
"24","AASDH","AASDH"
"25","AASDHPPT","AASDHPPT"
"26","AASS","AASS"
"27","AATF","AATF"
"28","AATK","AATK"
"29","ABAT","ABAT"
"30","ABCA1","ABCA1"
"31","ABCA10","ABCA10"
"32","ABCA12","ABCA12"
"33","ABCA13","ABCA13"
"34","ABCA2","ABCA2"
"35","ABCA3","ABCA3"
"36","ABCA4","ABCA4"
"37","ABCA5","ABCA5"
"38","ABCA6","ABCA6"
"39","ABCA7","ABCA7"
"40","ABCA8","ABCA8"
"41","ABCA9","ABCA9"
"42","ABCB1","ABCB1"
"43","ABCB10","ABCB10"
"44","ABCB11","ABCB11"
"45","ABCB6","ABCB6"
"46","ABCB7","ABCB7"
"47","ABCB8","ABCB8"
"48","ABCB9","ABCB9"
"49","ABCC1","ABCC1"
"50","ABCC10","ABCC10"
"51","ABCC11","ABCC11"
"52","ABCC12","ABCC12"
"53","ABCC2","ABCC2"
"54","ABCC3","ABCC3"
"55","ABCC4","ABCC4"
"56","ABCC5","ABCC5"
"57","ABCC6","ABCC6"
"58","ABCC8","ABCC8"
"59","ABCC9","ABCC9"
"60","ABCD1","ABCD1"
"61","ABCD3","ABCD3"
"62","ABCD4","ABCD4"
"63","ABCE1","ABCE1"
"64","ABCF1","ABCF1"
"65","ABCF2","ABCF2"
"66","ABCF3","ABCF3"
"67","ABCG1","ABCG1"
"68","ABCG4","ABCG4"
"69","ABCG5","ABCG5"
"70","ABCG8","ABCG8"
"71","ABHD1","ABHD1"
"72","ABHD10","ABHD10"
"73","ABHD11","ABHD11"
"74","ABHD12","ABHD12"
"75","ABHD12B","ABHD12B"
"76","ABHD13","ABHD13"
"77","ABHD14A","ABHD14A"
"78","ABHD14B","ABHD14B"
"79","ABHD15","ABHD15"
"80","ABHD16A","ABHD16A"
"81","ABHD16B","ABHD16B"
"82","ABHD17A","ABHD17A"
"83","ABHD17B","ABHD17B"
"84","ABHD17C","ABHD17C"
"85","ABHD18","ABHD18"
"86","ABHD2","ABHD2"
"87","ABHD3","ABHD3"
"88","ABHD4","ABHD4"
"89","ABHD5","ABHD5"
"90","ABHD6","ABHD6"
"91","ABHD8","ABHD8"
"92","ABI2","ABI2"
"93","NGFR","ABI3"
"94","ABI3BP","ABI3BP"
"95","ABITRAM","ABITRAM"
"96","ABL1","ABL1"
"97","ABL2","ABL2"
"98","ABLIM1","ABLIM1"
"99","ABLIM2","ABLIM2"
"100","ABLIM3","ABLIM3"
"101","ABO","ABO"
"102","ABR","ABR"
"103","ABRA","ABRA"
"104","ABRAXAS1","ABRAXAS1"
"105","ABRAXAS2","ABRAXAS2"
"106","ABT1","ABT1"
"107","ABTB1","ABTB1"
"108","ABTB2","ABTB2"
"109","ACAA1","ACAA1"
"110","ACAA2","ACAA2"
"111","ACACA","ACACA"
"112","ACACB","ACACB"
"113","ACAD10","ACAD10"
"114","ACAD11","ACAD11"
"115","ACAD8","ACAD8"
"116","ACAD9","ACAD9"
"117","ACADL","ACADL"
"118","ACADM","ACADM"
"119","ACADS","ACADS"
"120","ACADVL","ACADVL"
"121","ACAN","ACAN"
"122","ACAP1","ACAP1"
"123","ACAP2","ACAP2"
"124","ACAP3","ACAP3"
"125","ACAT1","ACAT1"
"126","ACBD3","ACBD3"
"127","ACBD4","ACBD4"
"128","ACBD5","ACBD5"
"129","ACBD6","ACBD6"
"130","ACBD7","ACBD7"
"131","ACCS","ACCS"
"132","ACCSL","ACCSL"
"133","ACD","ACD"
"134","ACE","ACE"
"135","ACE2","ACE2"
"136","ACER1","ACER1"
"137","ACER2","ACER2"
"138","ACER3","ACER3"
"139","ACHE","ACHE"
"140","ACIN1","ACIN1"
"141","ACKR1","ACKR1"
"142","ACKR2","ACKR2"
"143","ACKR3","ACKR3"
"144","ACKR4","ACKR4"
"145","ACLY","ACLY"
"146","ACMSD","ACMSD"
"147","ACO1","ACO1"
"148","ACO2","ACO2"
"149","ACOD1","ACOD1"
"150","ACOT11","ACOT11"
"151","ACOT12","ACOT12"
"152","ACOT13","ACOT13"
"153","ACOT4","ACOT4"
"154","ACOT6","ACOT6"
"155","ACOT7","ACOT7"
"156","ACOT8","ACOT8"
"157","ACOT9","ACOT9"
"158","ACOX1","ACOX1"
"159","ACOX2","ACOX2"
"160","ACOX3","ACOX3"
"161","ACOXL","ACOXL"
"162","ACP1","ACP1"
"163","ACP2","ACP2"
"164","ACP3","ACP3"
"165","ACP4","ACP4"
"166","ACP5","ACP5"
"167","ACP6","ACP6"
"168","ACP7","ACP7"
"169","ACR","ACR"
"170","ACRBP","ACRBP"
"171","ACRV1","ACRV1"
"172","ACSBG1","ACSBG1"
"173","ACSBG2","ACSBG2"
"174","ACSF2","ACSF2"
"175","ACSF3","ACSF3"
"176","ACSL1","ACSL1"
"177","ACSL3","ACSL3"
"178","ACSL4","ACSL4"
"179","ACSL5","ACSL5"
"180","ACSL6","ACSL6"
"181","ACSM3","ACSM3"
"182","ACSM4","ACSM4"
"183","ACSS1","ACSS1"
"184","ACSS2","ACSS2"
"185","ACSS3","ACSS3"
"186","ACTA2","ACTA2"
"187","ACTB","ACTB"
"188","ACTBL2","ACTBL2"
