"","human_gene","Sheep_gene"
"1","RNA5S1","5S_rRNA"
"2","5_8S_rRNA","5_8S_rRNA"
"3","A1BG","A1BG"
"4","A1CF","A1CF"
"5","A2M","A2M"
"6","A2ML1","A2ML1"
"7","A3GALT2","A3GALT2"
"8","A4GALT","A4GALT"
"9","A4GNT","A4GNT"
"10","AAAS","AAAS"
"11","AACS","AACS"
"12","AADACL3","AADACL3"
"13","AAGAB","AAGAB"
"14","AAK1","AAK1"
"15","AAMDC","AAMDC"
"16","AAMP","AAMP"
"17","AANAT","AANAT"
"18","AAR2","AAR2"
"19","AARD","AARD"
"20","AARS1","AARS1"
"21","AARS2","AARS2"
"22","AARSD1","AARSD1"
"23","AASDH","AASDH"
"24","AASDHPPT","AASDHPPT"
"25","AASS","AASS"
"26","AATF","AATF"
"27","AATK","AATK"
"28","ABAT","ABAT"
"29","ABCA1","ABCA1"
"30","ABCA10","ABCA10"
"31","ABCA12","ABCA12"
"32","ABCA13","ABCA13"
"33","ABCA2","ABCA2"
"34","ABCA3","ABCA3"
"35","ABCA4","ABCA4"
"36","ABCA5","ABCA5"
"37","ABCA6","ABCA6"
"38","ABCA7","ABCA7"
"39","ABCA9","ABCA9"
"40","ABCB10","ABCB10"
"41","ABCB11","ABCB11"
"42","ABCB5","ABCB5"
"43","ABCB6","ABCB6"
"44","ABCB7","ABCB7"
"45","ABCB8","ABCB8"
"46","ABCB9","ABCB9"
"47","ABCC1","ABCC1"
"48","ABCC10","ABCC10"
"49","ABCC11","ABCC11"
"50","ABCC12","ABCC12"
"51","ABCC2","ABCC2"
"52","ABCC3","ABCC3"
"53","ABCC5","ABCC5"
"54","ABCC6","ABCC6"
"55","ABCC8","ABCC8"
"56","ABCD1","ABCD1"
"57","ABCD2","ABCD2"
"58","ABCD3","ABCD3"
"59","ABCD4","ABCD4"
"60","ABCE1","ABCE1"
"61","ABCF1","ABCF1"
"62","ABCF2","ABCF2"
"63","ABCF3","ABCF3"
"64","ABCG1","ABCG1"
"65","ABCG2","ABCG2"
"66","ABCG4","ABCG4"
"67","ABCG5","ABCG5"
"68","ABCG8","ABCG8"
"69","ABHD1","ABHD1"
"70","ABHD10","ABHD10"
"71","ABHD11","ABHD11"
"72","ABHD12","ABHD12"
"73","ABHD12B","ABHD12B"
"74","ABHD13","ABHD13"
"75","ABHD14A","ABHD14A"
"76","ABHD14B","ABHD14B"
"77","ABHD15","ABHD15"
"78","ABHD16A","ABHD16A"
"79","ABHD16B","ABHD16B"
"80","ABHD17A","ABHD17A"
"81","ABHD17B","ABHD17B"
"82","ABHD17C","ABHD17C"
"83","ABHD2","ABHD2"
"84","ABHD3","ABHD3"
"85","ABHD4","ABHD4"
"86","ABHD5","ABHD5"
"87","ABHD6","ABHD6"
"88","ABHD8","ABHD8"
"89","ABI1","ABI1"
"90","ABI2","ABI2"
"91","ABI3","ABI3"
"92","ABI3BP","ABI3BP"
"93","ABITRAM","ABITRAM"
"94","ABL1","ABL1"
"95","ABL2","ABL2"
"96","ABLIM1","ABLIM1"
"97","ABLIM2","ABLIM2"
"98","ABLIM3","ABLIM3"
"99","ABR","ABR"
"100","ABRA","ABRA"
"101","ABRACL","ABRACL"
"102","ABRAXAS1","ABRAXAS1"
"103","ABRAXAS2","ABRAXAS2"
