"","human_gene","zebarfish_gene"
"1","ABCA7","ABCA7"
"2","ABCD2","ABCD2"
"3","ABR","ABR"
"4","ACADSB","ACADSB"
"5","ACAP2","ACAP2"
"6","ACBD3","ACBD3"
"7","ACKR2","ACKR2"
"8","ACOT12","ACOT12"
"9","ACSF3","ACSF3"
"10","ACTC1","ACTC1"
"11","ACTMAP","ACTMAP"
"12","ACVR1C","ACVR1C"
"13","ADAM12","ADAM12"
"14","ADAMTS7","ADAMTS7"
"15","ADGRL3","ADGRL3"
"16","ADISSP","ADISSP"
"17","AK6","AK6"
"18","SCARNA13","AL845550.1"
"19","RNU1-22P","AL929028.2"
"20","RNU1-22P","AL929028.4"
"21","RNU6-50P","AL929029.13"
"22","RNU1-22P","AL929029.17"
"23","PRR5L","AL929208.1"
"24","SCARNA2","AL929282.1"
"25","DUSP13B","AL929334.1"
"26","SNORD61","AL929434.1"
"27","SNORD61","AL929434.2"
"28","SNORD61","AL929434.3"
"29","SNORA30","AL929469.1"
"30","SNORA30","AL929469.2"
"31","SNORA30","AL929469.4"
"32","SNORA30","AL929469.5"
"33","CD4","AL929520.3"
"34","BTN2A1","AL935044.2"
"35","TBC1D12","AL935174.3"
"36","SEPTIN14","AL935186.1"
"37","GPR119","AL935199.1"
"38","SNORA38","AL953841.1"
"39","RNU1-22P","AL953856.4"
"40","NOP9","AL954696.1"
"41","SNORD31B","AL954715.2"
"42","SNORD29","AL954715.3"
"43","SNORD31B","AL954715.4"
"44","SNORD31B","AL954715.5"
"45","AMDHD1","AMDHD1"
"46","AMZ2","AMZ2"
"47","ANGPTL2","ANGPTL2"
"48","ANKFN1","ANKFN1"
"49","ANKRD50","ANKRD50"
"50","ANKRD66","ANKRD66"
"51","ANO7","ANO7"
"52","ANOS1","ANOS1"
"53","ANPEP","ANPEP"
"54","AP3B2","AP3B2"
"55","APBA3","APBA3"
"56","AREL1","AREL1"
"57","ARF5","ARF5"
"58","ARHGAP22","ARHGAP22"
"59","ARHGAP44","ARHGAP44"
"60","ARHGEF17","ARHGEF17"
"61","ARHGEF25","ARHGEF25"
"62","ARK2N","ARK2N"
"63","ARMC6","ARMC6"
"64","ARSB","ARSB"
"65","ASS1","ASS1"
"66","ASTE1","ASTE1"
"67","ATE1","ATE1"
"68","ATG14","ATG14"
"69","ATG2A","ATG2A"
"70","ATP11B","ATP11B"
"71","ATP8A1","ATP8A1"
"72","ATP9A","ATP9A"
"73","AXL","AXL"
"74","B3GALT9","B3GALT9"
"75","B3GAT1","B3GAT1"
"76","BBLN","BBLN"
"77","BCR","BCR"
"78","BDKRB2","BDKRB2"
"79","BEND4","BEND4"
"80","BEND7","BEND7"
"81","BFSP1","BFSP1"
"82","BICD2","BICD2"
"83","BLTP1","BLTP1"
"84","BLTP2","BLTP2"
"85","BMERB1","BMERB1"
"86","BNC1","BNC1"
"87","BOLA2","BOLA2"
"88","BRD8","BRD8"
