"","human_gene","macaque_gene"
"1","RNA5S3","5S_rRNA"
"2","5_8S_rRNA","5_8S_rRNA"
"3","A1BG","A1BG"
"4","A1CF","A1CF"
"5","A2ML1","A2ML1"
"6","A3GALT2","A3GALT2"
"7","A4GALT","A4GALT"
"8","AAAS","AAAS"
"9","AACS","AACS"
"10","AADAC","AADAC"
"11","AADACL2","AADACL2"
"12","AADACL3","AADACL3"
"13","AADACL4","AADACL4"
"14","AADAT","AADAT"
"15","AAGAB","AAGAB"
"16","AAK1","AAK1"
"17","AAMDC","AAMDC"
"18","AAMP","AAMP"
"19","AANAT","AANAT"
"20","AAR2","AAR2"
"21","AARD","AARD"
"22","AARS1","AARS1"
"23","AARS2","AARS2"
"24","AARSD1","AARSD1"
"25","AASDH","AASDH"
"26","AASDHPPT","AASDHPPT"
"27","AASS","AASS"
"28","AATF","AATF"
"29","AATK","AATK"
"30","ABAT","ABAT"
"31","ABCA1","ABCA1"
"32","ABCA12","ABCA12"
"33","ABCA13","ABCA13"
"34","ABCA2","ABCA2"
"35","ABCA3","ABCA3"
"36","ABCA4","ABCA4"
"37","ABCA5","ABCA5"
"38","ABCA6","ABCA6"
"39","ABCA7","ABCA7"
"40","ABCA8","ABCA8"
"41","ABCA9","ABCA9"
"42","ABCB10","ABCB10"
"43","ABCB11","ABCB11"
"44","ABCB4","ABCB4"
"45","ABCB5","ABCB5"
"46","ABCB7","ABCB7"
"47","ABCB8","ABCB8"
"48","ABCB9","ABCB9"
"49","ABCC1","ABCC1"
"50","ABCC10","ABCC10"
"51","ABCC11","ABCC11"
"52","ABCC12","ABCC12"
"53","ABCC2","ABCC2"
"54","ABCC3","ABCC3"
"55","ABCC4","ABCC4"
"56","ABCC5","ABCC5"
"57","ABCC6","ABCC6"
"58","ABCC8","ABCC8"
"59","ABCC9","ABCC9"
"60","ABCD1","ABCD1"
"61","ABCD2","ABCD2"
"62","ABCD3","ABCD3"
"63","ABCD4","ABCD4"
"64","ABCE1","ABCE1"
"65","ABCF1","ABCF1"
"66","ABCF2","ABCF2"
"67","ABCF3","ABCF3"
"68","ABCG1","ABCG1"
"69","ABCG4","ABCG4"
"70","ABCG5","ABCG5"
"71","ABCG8","ABCG8"
"72","ABHD1","ABHD1"
"73","ABHD10","ABHD10"
"74","ABHD11","ABHD11"
"75","ABHD12","ABHD12"
"76","ABHD12B","ABHD12B"
"77","ABHD13","ABHD13"
"78","ABHD14B","ABHD14B"
"79","ABHD15","ABHD15"
"80","ABHD16A","ABHD16A"
"81","ABHD16B","ABHD16B"
"82","ABHD17A","ABHD17A"
"83","ABHD17B","ABHD17B"
"84","ABHD18","ABHD18"
"85","ABHD2","ABHD2"
"86","ABHD3","ABHD3"
"87","ABHD4","ABHD4"
"88","ABHD5","ABHD5"
"89","ABHD6","ABHD6"
"90","ABHD8","ABHD8"
"91","ABI1","ABI1"
"92","ABI2","ABI2"
"93","ABI3","ABI3"
"94","ABI3BP","ABI3BP"
"95","ABITRAM","ABITRAM"
"96","ABL1","ABL1"
"97","ABL2","ABL2"
"98","ABLIM1","ABLIM1"
"99","ABLIM2","ABLIM2"
"100","ABLIM3","ABLIM3"
"101","ABO","ABO"
"102","ABR","ABR"
"103","ABRA","ABRA"
"104","ABRACL","ABRACL"
"105","ABRAXAS1","ABRAXAS1"
"106","ABRAXAS2","ABRAXAS2"
"107","ABT1","ABT1"
"108","ABTB1","ABTB1"
"109","ABTB2","ABTB2"
"110","ACAA1","ACAA1"
"111","ACAA2","ACAA2"
"112","ACACA","ACACA"
"113","ACACB","ACACB"
"114","ACAD10","ACAD10"
"115","ACAD11","ACAD11"
"116","ACAD8","ACAD8"
"117","ACAD9","ACAD9"
"118","ACADM","ACADM"
"119","ACADS","ACADS"
"120","ACADSB","ACADSB"
"121","ACADVL","ACADVL"
"122","ACAN","ACAN"
"123","ACAP1","ACAP1"
"124","ACAP2","ACAP2"
"125","ACAP3","ACAP3"
"126","ACBD3","ACBD3"
"127","ACBD4","ACBD4"
"128","ACBD5","ACBD5"
"129","ACBD6","ACBD6"
"130","ACBD7","ACBD7"
"131","ACCSL","ACCSL"
"132","ACD","ACD"
"133","ACE","ACE"
"134","ACE2","ACE2"
"135","ACER1","ACER1"
"136","ACER2","ACER2"
"137","ACER3","ACER3"
"138","ACHE","ACHE"
"139","ACIN1","ACIN1"
"140","ACKR1","ACKR1"
"141","ACKR2","ACKR2"
"142","ACKR3","ACKR3"
"143","ACKR4","ACKR4"
"144","ACLY","ACLY"
"145","ACMSD","ACMSD"
"146","ACO1","ACO1"
"147","ACO2","ACO2"
"148","ACOD1","ACOD1"
"149","ACOT11","ACOT11"
"150","ACOT12","ACOT12"
"151","ACOT13","ACOT13"
"152","ACOT7","ACOT7"
"153","ACOT8","ACOT8"
"154","ACOT9","ACOT9"
"155","ACOX1","ACOX1"
"156","ACOX2","ACOX2"
"157","ACOX3","ACOX3"
"158","ACP1","ACP1"
"159","ACP2","ACP2"
"160","ACP3","ACP3"
"161","ACP5","ACP5"
"162","ACP6","ACP6"
"163","ACP7","ACP7"
"164","ACR","ACR"
"165","ACRBP","ACRBP"
"166","ACRV1","ACRV1"
"167","ACSBG1","ACSBG1"
"168","ACSBG2","ACSBG2"
"169","ACSF2","ACSF2"
"170","ACSF3","ACSF3"
"171","ACSL1","ACSL1"
"172","ACSL3","ACSL3"
"173","ACSL4","ACSL4"
"174","ACSL5","ACSL5"
"175","ACSL6","ACSL6"
"176","ACSM1","ACSM1"
"177","ACSM3","ACSM3"
"178","ACSM4","ACSM4"
"179","ACSM5","ACSM5"
"180","ACSS1","ACSS1"
"181","ACSS2","ACSS2"
"182","ACSS3","ACSS3"
"183","ACTA1","ACTA1"
"184","ACTA2","ACTA2"
"185","ACTB","ACTB"
"186","ACTBL2","ACTBL2"
"187","ACTC1","ACTC1"
"188","ACTG1","ACTG1"
"189","ACTG2","ACTG2"
"190","ACTL6A","ACTL6A"
"191","ACTL6B","ACTL6B"
"192","ACTL7A","ACTL7A"
"193","ACTL7B","ACTL7B"
"194","ACTL8","ACTL8"
"195","ACTL9","ACTL9"
"196","ACTMAP","ACTMAP"
"197","ACTN1","ACTN1"
"198","ACTN2","ACTN2"
"199","ACTN3","ACTN3"
"200","ACTN4","ACTN4"
"201","ACTR10","ACTR10"
"202","ACTR1A","ACTR1A"
"203","ACTR1B","ACTR1B"
"204","ACTR2","ACTR2"
"205","ACTR3","ACTR3"
"206","ACTR3B","ACTR3B"
"207","ACTR5","ACTR5"
"208","ACTR6","ACTR6"
"209","ACTR8","ACTR8"
"210","ACTRT1","ACTRT1"
"211","ACTRT2","ACTRT2"
"212","ACTRT3","ACTRT3"
"213","ACVR1","ACVR1"
"214","ACVR1B","ACVR1B"
"215","ACVR1C","ACVR1C"
"216","ACVR2A","ACVR2A"
"217","ACVR2B","ACVR2B"
"218","ACVRL1","ACVRL1"
"219","ACY1","ACY1"
"220","ACY3","ACY3"
"221","ACYP2","ACYP2"
"222","ADA","ADA"
"223","ADA2","ADA2"
"224","ADAD1","ADAD1"
"225","ADAD2","ADAD2"
"226","ADAL","ADAL"
"227","ADAM10","ADAM10"
"228","ADAM11","ADAM11"
"229","ADAM12","ADAM12"
"230","ADAM15","ADAM15"
"231","ADAM17","ADAM17"
"232","ADAM18","ADAM18"
"233","ADAM19","ADAM19"
"234","ADAM2","ADAM2"
"235","ADAM20","ADAM20"
"236","ADAM21","ADAM21"
"237","ADAM22","ADAM22"
"238","ADAM23","ADAM23"
"239","ADAM28","ADAM28"
"240","ADAM29","ADAM29"
"241","ADAM30","ADAM30"
"242","ADAM33","ADAM33"
"243","ADAM7","ADAM7"
"244","ADAM8","ADAM8"
"245","ADAM9","ADAM9"
"246","ADAMDEC1","ADAMDEC1"
"247","ADAMTS1","ADAMTS1"
"248","ADAMTS10","ADAMTS10"
"249","ADAMTS12","ADAMTS12"
"250","ADAMTS13","ADAMTS13"
"251","ADAMTS14","ADAMTS14"
"252","ADAMTS15","ADAMTS15"
"253","ADAMTS16","ADAMTS16"
"254","ADAMTS17","ADAMTS17"
"255","ADAMTS18","ADAMTS18"
"256","ADAMTS19","ADAMTS19"
"257","ADAMTS2","ADAMTS2"
"258","ADAMTS20","ADAMTS20"
"259","ADAMTS3","ADAMTS3"
"260","ADAMTS4","ADAMTS4"
"261","ADAMTS5","ADAMTS5"
"262","ADAMTS6","ADAMTS6"
"263","ADAMTS7","ADAMTS7"
"264","ADAMTS8","ADAMTS8"
"265","ADAMTS9","ADAMTS9"
"266","ADAMTSL1","ADAMTSL1"
"267","ADAMTSL2","ADAMTSL2"
"268","ADAMTSL3","ADAMTSL3"
"269","ADAMTSL4","ADAMTSL4"
"270","ADAMTSL5","ADAMTSL5"
"271","ADAP1","ADAP1"
"272","ADAP2","ADAP2"
"273","ADAR","ADAR"
"274","ADARB1","ADARB1"
"275","ADARB2","ADARB2"
"276","ADAT1","ADAT1"
"277","ADAT2","ADAT2"
"278","ADAT3","ADAT3"
"279","ADCK1","ADCK1"
"280","ADCK2","ADCK2"
"281","ADCK5","ADCK5"
"282","ADCY1","ADCY1"
"283","ADCY10","ADCY10"
"284","ADCY2","ADCY2"
"285","ADCY3","ADCY3"
"286","ADCY4","ADCY4"
"287","ADCY5","ADCY5"
"288","ADCY6","ADCY6"
"289","ADCY7","ADCY7"
"290","ADCY8","ADCY8"
"291","ADCY9","ADCY9"
"292","ADCYAP1","ADCYAP1"
"293","ADCYAP1R1","ADCYAP1R1"
"294","ADD1","ADD1"
"295","ADD2","ADD2"
"296","ADD3","ADD3"
"297","ADGB","ADGB"
"298","ADGRA1","ADGRA1"
