"","human_gene","pig_gene"
"1","RNA5S1","5S_rRNA"
"2","RNA5-8SN5","5_8S_rRNA"
"3","A1CF","A1CF"
"4","A2M","A2M"
"5","A2ML1","A2ML1"
"6","A3GALT2","A3GALT2"
"7","A4GALT","A4GALT"
"8","A4GNT","A4GNT"
"9","AAAS","AAAS"
"10","AACS","AACS"
"11","AADAC","AADAC"
"12","AADACL2","AADACL2"
"13","AADACL3","AADACL3"
"14","AADACL4","AADACL4"
"15","AADAT","AADAT"
"16","AAGAB","AAGAB"
"17","AAK1","AAK1"
"18","AAMP","AAMP"
"19","AANAT","AANAT"
"20","AAR2","AAR2"
"21","AARD","AARD"
"22","AARS1","AARS1"
"23","AARS2","AARS2"
"24","AARSD1","AARSD1"
"25","AASDH","AASDH"
"26","AASDHPPT","AASDHPPT"
"27","AASS","AASS"
"28","AATF","AATF"
"29","AATK","AATK"
"30","ABAT","ABAT"
"31","ABCA1","ABCA1"
"32","ABCA12","ABCA12"
"33","ABCA13","ABCA13"
"34","ABCA2","ABCA2"
"35","ABCA3","ABCA3"
"36","ABCA4","ABCA4"
"37","ABCA5","ABCA5"
"38","ABCA6","ABCA6"
"39","ABCA7","ABCA7"
"40","ABCA8","ABCA8"
"41","ABCA9","ABCA9"
"42","ABCB10","ABCB10"
"43","ABCB11","ABCB11"
"44","ABCB5","ABCB5"
"45","ABCB6","ABCB6"
"46","ABCB7","ABCB7"
"47","ABCB8","ABCB8"
"48","ABCB9","ABCB9"
"49","ABCC1","ABCC1"
"50","ABCC10","ABCC10"
"51","ABCC11","ABCC11"
"52","ABCC12","ABCC12"
"53","ABCC2","ABCC2"
"54","ABCC3","ABCC3"
"55","ABCC5","ABCC5"
"56","ABCC6","ABCC6"
"57","ABCC8","ABCC8"
"58","ABCC9","ABCC9"
"59","ABCD1","ABCD1"
"60","ABCD2","ABCD2"
"61","ABCD3","ABCD3"
"62","ABCD4","ABCD4"
"63","ABCE1","ABCE1"
"64","ABCF1","ABCF1"
"65","ABCF2","ABCF2"
"66","ABCF3","ABCF3"
"67","ABCG1","ABCG1"
"68","ABCG2","ABCG2"
"69","ABCG4","ABCG4"
"70","ABCG5","ABCG5"
"71","ABCG8","ABCG8"
"72","ABHD1","ABHD1"
"73","ABHD10","ABHD10"
"74","ABHD11","ABHD11"
"75","ABHD12","ABHD12"
"76","ABHD12B","ABHD12B"
"77","ABHD13","ABHD13"
"78","ABHD14A","ABHD14A"
"79","ABHD14B","ABHD14B"
"80","ABHD15","ABHD15"
"81","ABHD16A","ABHD16A"
"82","ABHD16B","ABHD16B"
"83","ABHD17A","ABHD17A"
"84","ABHD17B","ABHD17B"
"85","ABHD17C","ABHD17C"
"86","ABHD18","ABHD18"
"87","ABHD2","ABHD2"
"88","ABHD3","ABHD3"
"89","ABHD4","ABHD4"
"90","ABHD5","ABHD5"
"91","ABHD6","ABHD6"
"92","ABHD8","ABHD8"
"93","ABI1","ABI1"
"94","ABI2","ABI2"
"95","ABI3BP","ABI3BP"
"96","ABL1","ABL1"
"97","ABL2","ABL2"
"98","ABLIM1","ABLIM1"
"99","ABLIM2","ABLIM2"
"100","ABLIM3","ABLIM3"
"101","ABR","ABR"
"102","ABRA","ABRA"
"103","ABRACL","ABRACL"
"104","ABRAXAS1","ABRAXAS1"
"105","ABRAXAS2","ABRAXAS2"
"106","ABT1","ABT1"
"107","ABTB1","ABTB1"
"108","ABTB2","ABTB2"
"109","ABTB3","ABTB3"
"110","ACAA1","ACAA1"
"111","ACAA2","ACAA2"
"112","ACACA","ACACA"
"113","ACACB","ACACB"
"114","ACAD10","ACAD10"
"115","ACAD11","ACAD11"
"116","ACAD8","ACAD8"
"117","ACAD9","ACAD9"
"118","ACADL","ACADL"
"119","ACADM","ACADM"
"120","ACADS","ACADS"
"121","ACADSB","ACADSB"
"122","ACADVL","ACADVL"
"123","ACAN","ACAN"
"124","ACAP1","ACAP1"
"125","ACAP2","ACAP2"
"126","ACAP3","ACAP3"
"127","ACAT1","ACAT1"
"128","ACAT2","ACAT2"
"129","ACBD3","ACBD3"
"130","ACBD4","ACBD4"
"131","ACBD5","ACBD5"
"132","ACBD6","ACBD6"
"133","ACBD7","ACBD7"
"134","ACCS","ACCS"
"135","ACCSL","ACCSL"
"136","ACD","ACD"
"137","ACE","ACE"
