"","human_gene","chicken_gene"
"1","RNA5S1","5S_rRNA"
"2","RNA5-8SN5","5_8S_rRNA"
"3","A1BG","A1BG"
"4","A1CF","A1CF"
"5","A2M","A2M"
"6","A2ML1","A2ML1"
"7","A4GALT","A4GALT"
"8","AAAS","AAAS"
"9","AACS","AACS"
"10","AADAC","AADAC"
"11","AADACL3","AADACL3"
"12","AADACL4","AADACL4"
"13","AADAT","AADAT"
"14","AAGAB","AAGAB"
"15","AAK1","AAK1"
"16","AAMDC","AAMDC"
"17","AAMP","AAMP"
"18","AANAT","AANAT"
"19","AAR2","AAR2"
"20","AARD","AARD"
"21","AARS1","AARS1"
"22","AARS2","AARS2"
"23","AARSD1","AARSD1"
"24","AASDH","AASDH"
"25","AASDHPPT","AASDHPPT"
"26","AASS","AASS"
"27","AATF","AATF"
"28","AATK","AATK"
"29","ABAT","ABAT"
"30","ABCA1","ABCA1"
"31","ABCA10","ABCA10"
"32","ABCA12","ABCA12"
"33","ABCA13","ABCA13"
"34","ABCA2","ABCA2"
"35","ABCA3","ABCA3"
"36","ABCA4","ABCA4"
"37","ABCA5","ABCA5"
"38","ABCA6","ABCA6"
"39","ABCA7","ABCA7"
"40","ABCA9","ABCA9"
"41","ABCB10","ABCB10"
"42","ABCB11","ABCB11"
"43","ABCB4","ABCB4"
"44","ABCB5","ABCB5"
"45","ABCB6","ABCB6"
"46","ABCB7","ABCB7"
"47","ABCB8","ABCB8"
"48","ABCB9","ABCB9"
"49","ABCC1","ABCC1"
"50","ABCC10","ABCC10"
"51","ABCC11","ABCC11"
"52","ABCC12","ABCC12"
"53","ABCC2","ABCC2"
"54","ABCC3","ABCC3"
"55","ABCC5","ABCC5"
"56","ABCC6","ABCC6"
"57","ABCC8","ABCC8"
"58","ABCC9","ABCC9"
"59","ABCD1","ABCD1"
"60","ABCD2","ABCD2"
"61","ABCD3","ABCD3"
"62","ABCD4","ABCD4"
"63","ABCE1","ABCE1"
"64","ABCF1","ABCF1"
"65","ABCF2","ABCF2"
"66","ABCF3","ABCF3"
"67","ABCG1","ABCG1"
"68","ABCG2","ABCG2"
"69","ABCG4","ABCG4"
"70","ABCG5","ABCG5"
"71","ABCG8","ABCG8"
"72","ABHD1","ABHD1"
"73","ABHD10","ABHD10"
"74","ABHD11","ABHD11"
"75","ABHD12","ABHD12"
"76","ABHD12B","ABHD12B"
"77","ABHD13","ABHD13"
"78","ABHD14A","ABHD14A"
"79","ABHD14B","ABHD14B"
"80","ABHD15","ABHD15"
"81","ABHD16A","ABHD16A"
"82","ABHD16B","ABHD16B"
"83","ABHD17A","ABHD17A"
"84","ABHD17B","ABHD17B"
"85","ABHD17C","ABHD17C"
"86","ABHD18","ABHD18"
"87","ABHD2","ABHD2"
"88","ABHD3","ABHD3"
"89","ABHD4","ABHD4"
"90","ABHD5","ABHD5"
"91","ABHD6","ABHD6"
"92","ABHD8","ABHD8"
"93","ABI1","ABI1"
"94","ABI2","ABI2"
"95","ABI3","ABI3"
"96","ABI3BP","ABI3BP"
"97","ABITRAM","ABITRAM"
"98","ABL1","ABL1"
"99","ABL2","ABL2"
"100","ABLIM1","ABLIM1"
"101","ABLIM2","ABLIM2"
"102","ABLIM3","ABLIM3"
"103","ABO","ABO"
"104","ABR","ABR"
"105","ABRA","ABRA"
"106","ABRACL","ABRACL"
"107","ABRAXAS1","ABRAXAS1"
"108","ABRAXAS2","ABRAXAS2"
"109","ABT1","ABT1"
"110","ABTB1","ABTB1"
"111","ABTB2","ABTB2"
"112","ACAA1","ACAA1"
"113","ACAA2","ACAA2"
"114","ACACA","ACACA"
"115","UNG","ACACB"
"116","ACAD10","ACAD10"
"117","ACAD11","ACAD11"
"118","ACAD8","ACAD8"
"119","ACAD9","ACAD9"
"120","ACADL","ACADL"
"121","ACADM","ACADM"
"122","ACADS","ACADS"
"123","ACADSB","ACADSB"
"124","ACADVL","ACADVL"
"125","ACAN","ACAN"
"126","ACAP1","ACAP1"
"127","ACAP2","ACAP2"
"128","ACAP3","ACAP3"
"129","ACAT1","ACAT1"
"130","ACAT2","ACAT2"
"131","ACBD3","ACBD3"
"132","ACBD4","ACBD4"
"133","ACBD5","ACBD5"
"134","ACBD6","ACBD6"
"135","ACCS","ACCS"
"136","ACCSL","ACCSL"
"137","ACD","ACD"
