"","human_gene","fruit_fly_gene"
"1","DRG1","128up"
"2","YWHAE","14-3-3epsilon"
"3","YWHAZ","14-3-3zeta"
"4","TIMMDC1","140up"
"5","CTSV","26-29-p"
"6","LRRC53","2mit"
"7","EIF4ENIF1","4E-T"
"8","HTR1B","5-HT1A"
"9","HTR1F","5-HT1B"
"10","HTR2A","5-HT2A"
"11","HTR6","5-HT7"
"12","INPP5A","5PtaseI"
"13","SCG5","7B2"
"14","ABCB7","ABCB7"
"15","ACACB","ACC"
"16","ACOX2","ACOX1"
"17","GBE1","AGBE"
"18","AGO2","AGO1"
"19","PIWIL2","AGO3"
"20","AIFM1","AIF"
"21","AIMP1","AIMP1"
"22","AIMP2","AIMP2"
"23","PRKAA2","AMPKalpha"
"24","AMPD2","AMPdeam"
"25","AP1B1","AP-1-2beta"
"26","AP1G1","AP-1gamma"
"27","AP1M1","AP-1mu"
"28","AP1S2","AP-1sigma"
"29","AP2A2","AP-2alpha"
"30","AP2S1","AP-2sigma"
"31","ANAPC10","APC10"
"32","ANAPC4","APC4"
"33","ANAPC7","APC7"
"34","NAE1","APP-BP1"
"35","AQP11","AQP"
"36","AKR1B15","ARY"
"37","PPP1R13B","ASPP"
"38","ATP6AP2","ATP6AP2"
"39","ATP7B","ATP7"
"40","ACLY","ATPCL"
"41","ATP5PB","ATPsynB"
"42","ATP5PF","ATPsynCF6"
"43","ATP5PF","ATPsynCF6L"
"44","ATP5PD","ATPsynD"
"45","ATP5MF","ATPsynF"
"46","ATP5MG","ATPsynG"
"47","ATP5MG","ATPsynGL"
"48","ATP5PO","ATPsynO"
"49","ATP5F1B","ATPsynbeta"
"50","ATP5F1D","ATPsyndelta"
"51","ATP5F1C","ATPsyngamma"
"52","AASDH","Aasdh"
"53","ABCA3","Abca3"
"54","ABCD2","Abcd1"
"55","ABCD3","Abcd3"
"56","ABI3","Abi"
"57","ADCY9","Ac13E"
"58","ADCY3","Ac3"
"59","ACSS2","AcCoAS"
"60","ACAT1","Acat1"
"61","ACAT2","Acat2"
"62","ACBD7","Acbp1"
"63","DBI","Acbp2"
"64","BCHE","Ace"
"65","BAZ1A","Acf"
"66","TNK2","Ack"
"67","ACIN1","Acn"
"68","ACOX3","Acox3"
"69","ACOX2","Acox57D-d"
"70","ACOX2","Acox57D-p"
"71","ACP3","Acph-1"
"72","ACSF2","Acsf2"
"73","ACSF3","Acsf3"
"74","ACSL6","Acsl"
"75","ACSBG2","Acsx1L"
"76","ACSBG2","Acsx1R"
"77","SLC27A6","Acsx2"
"78","ACSBG2","Acsx3"
"79","ACSBG1","Acsx4"
"80","ACTN1","Actn"
"81","ACYP1","Acyp"
"82","ACYP1","Acyp2"
"83","ADSL","AdSL"
"84","ADSS2","AdSS"
"85","ADAL","Ada"
"86","TADA1","Ada1-1"
"87","TADA1","Ada1-2"
"88","TADA2A","Ada2a"
"89","TADA2B","Ada2b"
"90","TADA3","Ada3"
"91","ADAD2","Adar"
"92","ADAD2","Adat1"
"93","ADCK1","Adck1"
"94","ADCK5","Adck5"
"95","ADA2","Adgf-A"
"96","ADA2","Adgf-A2"
"97","ADA2","Adgf-B"
"98","ADA2","Adgf-C"
"99","ADA2","Adgf-D"
"100","ADA2","Adgf-E"
"101","HPGD","Adh"
"102","CBR4","Adhr"
"103","ADI1","Adi1"
"104","ADIPOR1","AdipoR"
"105","ADK","Adk1"
"106","ADK","Adk2"
"107","ADORA2B","AdoR"
"108","ULK3","Aduk"
"109","SLC4A1","Ae2"
"110","GLIPR1L1","Ag5r"
"111","GLIPR1L1","Ag5r2"
"112","AGPAT1","Agpat1"
"113","AGPAT1","Agpat2"
"114","AGPAT3","Agpat3"
"115","AGPAT3","Agpat4"
"116","AGPS","Agps"
"117","AGXT","Agxt"
"118","AHCYL1","AhcyL1"
"119","AHCYL1","AhcyL2"
"120","CMPK1","Ak1"
"121","AK2","Ak2"
"122","AK3","Ak3"
"123","AK6","Ak6"
"124","GNRHR","AkhR"
"125","AKR1B1","Akr1B"
"126","AARS1","AlaRS"
"127","AARS2","AlaRS-m"
"128","AAAS","Aladin"
"129","ALAS2","Alas"
"130","ALDOC","Ald1"
"131","ALDOC","Ald2"
"132","ALDH2","Aldh"
"133","ALDH3B2","Aldh-III"
"134","ALDH7A1","Aldh7A1"
"135","PDCD6","Alg-2"
"136","ALG1L2","Alg1"
