"","human_gene","chicken_gene"
"1","RNA5-8SN5","5_8S_rRNA"
"2","A1CF","A1CF"
"3","A4GALT","A4GALT"
"4","A4GNT","A4GNT"
"5","AAAS","AAAS"
"6","AACS","AACS"
"7","AADAC","AADAC"
"8","AADACL4","AADACL3C"
"9","AADAT","AADAT"
"10","PRXL2C","AAED1"
"11","AAGAB","AAGAB"
"12","AAK1","AAK1"
"13","AAMDC","AAMDC"
"14","AAMP","AAMP"
"15","AANAT","AANAT"
"16","AAR2","AAR2"
"17","AARS1","AARS1"
"18","AARS2","AARS2"
"19","AARSD1","AARSD1"
"20","AASDH","AASDH"
"21","AASDHPPT","AASDHPPT"
"22","AASS","AASS"
"23","AATF","AATF"
"24","AATK","AATK"
"25","ABAT","ABAT"
"26","ABCA1","ABCA1"
"27","ABCA12","ABCA12"
"28","ABCA13","ABCA13"
"29","ABCA2","ABCA2"
"30","ABCA3","ABCA3"
"31","ABCA4","ABCA4"
"32","ABCA5","ABCA5"
"33","ABCB1","ABCB1"
"34","ABCB10","ABCB10"
"35","ABCB11","ABCB11"
"36","ABCB6","ABCB6"
"37","ABCB7","ABCB7"
"38","ABCB8","ABCB8"
"39","ABCB9","ABCB9"
"40","ABCC1","ABCC1"
"41","ABCC4","ABCC4"
"42","ABCC5","ABCC5"
"43","ABCC6","ABCC6"
"44","ABCC8","ABCC8"
"45","ABCC9","ABCC9"
"46","ABCD2","ABCD2"
"47","ABCD3","ABCD3"
"48","ABCD4","ABCD4"
"49","ABCE1","ABCE1"
"50","ABCF2","ABCF2"
"51","ABCF3","ABCF3"
"52","ABCG1","ABCG1"
"53","ABCG4","ABCG4"
"54","ABCG5","ABCG5"
"55","ABCG8","ABCG8"
"56","ABHD1","ABHD1"
"57","ABHD10","ABHD10"
"58","ABHD11","ABHD11"
"59","ABHD12","ABHD12"
"60","ABHD13","ABHD13"
"61","ABHD14A","ABHD14A"
"62","ABHD16A","ABHD16A"
"63","ABHD17A","ABHD17A"
"64","ABHD17B","ABHD17B"
"65","ABHD17C","ABHD17C"
"66","ABHD18","ABHD18"
"67","ABHD2","ABHD2"
"68","ABHD3","ABHD3"
"69","ABHD5","ABHD4"
"70","ABHD6","ABHD6"
"71","ABHD8","ABHD8"
"72","ABI2","ABI2"
"73","ABI3","ABI3"
"74","ABI3BP","ABI3BP"
"75","ABL1","ABL1"
"76","ABL2","ABL2"
"77","ABLIM1","ABLIM1"
"78","ABLIM2","ABLIM2"
"79","ABLIM3","ABLIM3"
"80","ABR","ABR"
"81","ABRA","ABRA"
"82","ABRACL","ABRACL"
"83","ABTB1","ABTB1"
"84","ABTB2","ABTB2"
"85","ABTB3","ABTB3"
"86","ACAA1","ACAA1"
"87","ACAA2","ACAA2"
"88","ACACA","ACACA"
"89","ACACB","ACACB"
"90","ACAD11","ACAD11"
"91","ACAD8","ACAD8"
"92","ACAD9","ACAD9"
"93","ACADL","ACADL"
"94","ACADM","ACADM"
"95","ACADS","ACADS"
"96","ACADSB","ACADSB"
"97","ACAN","ACAN"
"98","ACAP1","ACAP1"
"99","ACAP2","ACAP2"
"100","ACAP3","ACAP3"
"101","ACAT1","ACAT1"
"102","ACAT2","ACAT2"
"103","ACBD3","ACBD3"
"104","ACBD4","ACBD4"
"105","ACBD5","ACBD5"
"106","ACBD6","ACBD6"
"107","ACBD7","ACBD7"
"108","ACE2","ACE2"
"109","ACER1","ACER1"
"110","ACER2","ACER2"
"111","ACER3","ACER3"
"112","ACHE","ACHE"
"113","CYP8B1","ACKR2"
"114","ACKR4","ACKR4"
"115","ACLY","ACLY"
"116","ACMSD","ACMSD"
"117","ACO1","ACO1"
"118","ACO2","ACO2"
"119","ACOD1","ACOD1"
"120","ACOT11","ACOT11"
"121","ACOT12","ACOT12"
"122","ACOT13","ACOT13"
"123","ACOT7","ACOT7"
"124","ACOT8","ACOT8"
"125","ACOT9","ACOT9"
"126","ACOX1","ACOX1"
"127","ACOX2","ACOX2"
"128","ACOX3","ACOX3"
"129","ACP1","ACP1"
"130","ACP2","ACP2"
"131","ACP5","ACP5"
"132","ACP6","ACP6"
"133","ACRBP","ACRBP"
"134","ACSBG1","ACSBG1"
